|name      |spect_type  |vmag |ra_deg      |dec_deg     |bv_color|
|HIP 46651 |F2IV        | 3.60|142.67547063|-40.46688763|   0.371|
|HIP 33018 |A3III       | 3.60|103.19725030|+33.96136985|   0.102|
|HIP 85727 |B8V         | 3.60|262.77490395|-60.68360667|  -0.104|
|HIP 6537  |K0III       | 3.60|021.00604671|-08.18275372|   1.065|
|HIP 42536 |B3IV        | 3.60|130.07337168|-52.92197259|  -0.168|
|HIP 76470 |K3III       | 3.60|234.25607748|-28.13507099|   1.361|
|HIP 15900 |G8III       | 3.61|051.20349011|+09.02906504|   0.887|
|HIP 49841 |K0III       | 3.61|152.64748785|-12.35383921|   1.007|
|HIP 86929 |K1III       | 3.61|266.43334347|-64.72373450|   1.161|
|HIP 13209 |B8Vn        | 3.61|042.49578911|+27.26079044|  -0.100|
|HIP 63613 |K2III       | 3.61|195.56573968|-71.54879865|   1.190|
|HIP 82729 |K4III       | 3.62|253.64627156|-42.36075916|   1.393|
|HIP 17847 |B8III       | 3.62|057.29054669|+24.05352412|  -0.070|
|HIP 37819 |K4III       | 3.62|116.31376631|-37.96859848|   1.706|
|HIP 113726|B6pv SB     | 3.62|345.48019377|+42.32597866|  -0.099|
|HIP 7097  |G8III       | 3.62|022.87080776|+15.34583101|   0.974|
|HIP 57363 |A7III       | 3.63|176.40236386|-66.72884344|   0.160|
|HIP 101769|F5IV        | 3.64|309.38695734|+14.59520289|   0.425|
|HIP 88714 |B2Ib        | 3.65|271.65782832|-50.09145462|  -0.101|
|HIP 20205 |G8III       | 3.65|064.94805793|+15.62770031|   0.981|
|HIP 46733 |F0IV        | 3.65|142.88154025|+63.06179545|   0.360|
|HIP 110960|F3III-IV    | 3.65|337.20750231|-00.02006304|   0.406|
|HIP 77233 |A3V         | 3.65|236.54672877|+15.42192602|   0.073|
|HIP 75695 |F0p         | 3.66|231.95771631|+29.10549164|   0.319|
|HIP 76600 |B2.5V       | 3.66|234.66410153|-29.77768935|  -0.177|
|HIP 68756 |A0III SB    | 3.67|211.09760837|+64.37580873|  -0.049|
|HIP 103227|K0III       | 3.67|313.70241509|-58.45409470|   1.250|
